,0,1,2,3
0,mannyconcepts,2021-07-05 15:10:42,1412066415239221249,"RT @adelabukamal: 🗣️📢!!!

Cartoon art by @Tolamiope https://t.co/LDVhkL8XpM"
1,mannyconcepts,2021-07-05 14:30:26,1412056279795834886,"RT @OlaAgunbiade: I painted the great Thomas Shelby

@ThePeakyBlinder
So guys, Thomas Shelby or Thomas Potter?

Painted on @Procreate https…"
2,mannyconcepts,2021-07-05 13:50:13,1412046158298558479,RT @BigBrainPosting: https://t.co/wOSu0Ntd1Y
3,mannyconcepts,2021-07-05 13:35:52,1412042545870389255,"RT @AmooDaniel_: Twitter developers in Nigeria, I keep on getting this error, I think it's because of the Twitter ban. How can the tweepy p…"
4,mannyconcepts,2021-07-04 22:50:59,1411819859042840579,RT @__MikeAnthony: Using water to put out a fire that’s located in water is something I can’t comprehend right now
5,mannyconcepts,2021-07-04 16:43:52,1411727473256157184,@Tolamiope Tolaa💀
6,mannyconcepts,2021-07-04 16:43:42,1411727428955914240,RT @Tolamiope: A piece Lol🎨 https://t.co/UKLsR2Sn9B
7,mannyconcepts,2021-07-04 16:35:02,1411725248957984769,"RT @adelabukamal: HTML, CSS, JavaScript, Node Js, Express, Mongo Db.

I am good with all of the above.👨🏽‍💻"
8,mannyconcepts,2021-07-03 18:45:12,1411395619617488903,RT @timinaija: I recently worked on social media designs for a travel agency. Kindly RT. https://t.co/4AbgqKwT1Q
9,mannyconcepts,2021-07-02 22:54:34,1411095985422491650,"RT @OlaAgunbiade: Now, we detail... https://t.co/gnpTSMGEjX"
