0,1
mannyconcepts,@bubu_joyce @Leyezaiseph Legit😭😂
mannyconcepts,"RT @EdmundOris: As y’all can see from today’s game, Winning the COPA America &gt;&gt;&gt;&gt; Winning Euro.

South American teams would fight you befor…"
mannyconcepts,"RT @_drewcraftz: Who dey breet😂💙🤍🇦🇷
#CopaAmericaFINAL #Argentina #ArgentinaVsBrazil"
mannyconcepts,"RT @EdmundOris: Messi FC RT FOR YOUR GOAT!!!!!!!!!!!!

The stupid debate is FVCKING OVER!

We WON!!!!!!!!!!!

Fvcking RT!!!!!"
mannyconcepts,@ManlikeTemii Brooooo😭😭😭😭
mannyconcepts,RT @ManlikeTemii: God I cannot Express my joy 😭😭😭😭😭😭😭
mannyconcepts,"RT @_jamesamoo: I'M FUCKING CRYINGGGG MAN. 

I'M FUCKING CRYINGGGG"
mannyconcepts,RT @Beamerrboyy: Goddd
mannyconcepts,RT @Shutabug: Every time  i stumble upon these illustrations i shed a little tear. Can't believe i made them. :') https://t.co/HRBoMr6CIg
chyderaa_,RT @Onaopepo_a: I’m going to write an essay about my self and put it in pdf from. Any talking stage I enter from now I go send them pdf. O…
chyderaa_,"RT @temitopshogunle: Tbh i don't have have issues if you are of the opinion that Ebuka should be changed because you want a woman there.

W…"
chyderaa_,"RT @lollypeezle: You want Ebuka out and Nancy Isime or Frank Edoho in. Why? You said “someone else deserve a shot at the job too”

Well, so…"
chyderaa_,RT @k_yktv: Or just shower.. your phone will be there when you come out
chyderaa_,"RT @Edith__nneka: Good luck to those in the front row at Burna’s next concert, because if he give you mic and you forget lyrics...adieu🙏"
chyderaa_,RT @itsmeyourfavx: i wish parents realised how much of an important role they play in building their child’s self esteem and how much that…
chyderaa_,@AmooDaniel_ @Ewere_EA Ikr😂
chyderaa_,@AmooDaniel_ Welldone!!
chyderaa_,"RT @AmooDaniel_: Just thought of posting some of the projects I worked on during IT, would definitely love it if I can work with someone to…"
chyderaa_,RT @davido: This year we invest
amoodaniel_,RT @fisayo_ajisafe: This &gt; both https://t.co/i4qOShzsCc
amoodaniel_,RT @NigeriaBasket: RESPECT US.
amoodaniel_,solved. Thanks to vpn.
amoodaniel_,@pheelix28 i fit deaf you😄
amoodaniel_,"Things I have tried:
I added a proxy server to my IDE(i used the proxy server on TOR browser), which is working fin… https://t.co/m6drOytabj"
amoodaniel_,"Twitter developers in Nigeria, I keep on getting this error, I think it's because of the Twitter ban. How can the t… https://t.co/hANTVHMTv3"
amoodaniel_,"RT @fkabudu: Please go and preregister for your PVCs beloved 👇🏾. We are all voting this time 

https://t.co/NZTB32WK3z"
amoodaniel_,@_chiekeziee Peep the date.
amoodaniel_,SMH https://t.co/cLSi8Lmbls
amoodaniel_,https://t.co/NaLVyAJ9pr
