,Id,degree,group
0,986913917791326208,5004,5
1,749010534020833284,5003,11
2,1110670028943302658,5001,14
3,909895139144949760,5001,15
4,804075344,5001,22
5,175677714,5001,13
6,95420772,5000,1
7,1134149109135413248,5000,17
8,1268102834131697664,5000,23
9,290987647,5000,4
10,1291149062,4667,9
11,1237039461420187654,3601,27
12,1020593445092691969,2480,19
13,1215597037149925377,2274,2
14,783705173361356800,1738,16
15,1152594126526980096,1604,8
16,1271721118941040641,1352,3
17,1176906817735204869,1341,25
18,1339096653324836864,1258,26
19,4157446703,1186,27
20,1228716210034036737,844,19
21,1232627806032531456,752,20
22,1204281637976100864,676,0
23,714089810701524993,665,18
24,1229786832,596,24
25,1375104909956235273,477,12
26,1100804839070679042,408,19
27,1222158137790205957,356,21
28,1280182255772676097,299,7
29,3104651937,288,0
30,1299036774925250561,276,27
31,968425116005818368,253,21
32,1235562635099344898,249,27
33,1247254042272825346,236,21
34,1249661522474868737,235,27
35,1315243661106577413,216,21
36,764051258302922752,195,10
37,1196240676113043457,135,21
38,1956736555,121,6
39,984350529961840640,98,16
40,1220078055433043970,53,21
41,1390683215841701890,44,21
42,1910985542,42,12
43,1274268231625256960,33,21
44,1212388118592012290,18,21
45,887425346727026688,14,21
46,4704345620,13,21
47,989726860559892481,9,27
48,1194982168503750656,8,21
49,1206507214401355776,8,21
50,1033832755493257217,8,21
51,1414998756,8,21
52,1205638807317569548,8,0
53,1182839944756240384,8,27
54,1175849525648527362,7,21
55,1363248253496614916,7,21
56,1178751449507024900,7,21
57,1013874399697661953,7,21
58,1064925463234121728,7,21
59,880061181376987136,7,0
60,1367803896719085568,7,27
61,1306231525961236481,7,27
62,1197059364772876288,7,27
63,775553336657534976,7,27
64,912953988689141761,7,21
65,1454859096,7,3
66,1288765556,7,21
67,1181503250148802561,7,21
68,1053023556601372673,7,21
69,1143574283907715073,7,27
70,1284921372221865984,7,21
71,1102686683059941382,7,21
72,949787703452798976,7,27
73,1185633303598116867,7,21
74,4722356716,7,20
75,1298649720290779136,6,21
76,1609270040,6,21
77,907297836492054528,6,21
78,1356252746140286976,6,26
79,366574684,6,3
80,1238901727300108294,6,22
81,728980926219341824,6,0
82,1081269622010191872,6,2
83,582733596,6,3
84,849971205008490496,6,16
85,1087212431397584896,6,27
86,1357586617628786690,6,27
87,1098492969437544449,6,27
88,4650705736,6,16
89,1267868094137016324,6,27
90,1161754490787311616,6,27
91,1314884022720438272,6,27
92,542702947,6,0
93,1310286226667319302,6,27
94,1170112653026635777,6,27
95,1286616430272749568,6,2
96,926547073058689024,6,27
97,1078851459796664320,6,27
98,1020935328,6,21
99,853835628613689344,6,27
100,998582366066049024,6,27
101,1273070324662317057,6,26
102,1078734153703714816,6,27
103,415958092,6,27
104,1053370749933813762,6,16
105,848900587491966977,6,27
106,1096565282125086722,6,21
107,719570209393156097,6,27
108,419100301,6,21
109,2951421927,6,27
110,1105254908780052480,6,21
111,722701303189782529,6,0
112,959833757791473664,6,27
113,1084885410797494272,6,21
114,2875273049,6,19
115,1311577958021320704,6,19
116,1183268154,5,21
117,1053040556149039104,5,21
118,1055234364,5,21
119,1273034806314651648,5,21
120,1231210146497466369,5,21
121,773098138420805632,5,21
122,1260675127487926278,5,3
123,977780655559008256,5,2
124,1089200997765922816,5,9
125,836107674949468164,5,27
126,1706806891,5,20
127,1309261847489638400,5,19
128,1072778606747807745,5,27
129,1359220815116517379,5,27
130,1263571760169041920,5,27
131,1246013711514566657,5,21
132,848833981495865346,5,2
133,3049213055,5,27
134,873696513687474176,5,27
135,476862696,5,16
136,1055603148285509633,5,27
137,1026569880416526336,5,27
138,1462127064,5,8
139,2391711385,5,2
140,1263562773432320000,5,2
141,1108396661972369410,5,7
142,1310057556639911936,5,27
143,1253036258374430720,5,0
144,1258097655420530688,5,2
145,756149677733576704,5,2
146,1255064102159945731,5,3
147,1235239180562829313,5,27
148,910257919907831808,5,27
149,3859251880,5,27
150,801694943823757312,5,0
151,2264061737,5,26
152,984042287637454848,5,12
153,634477546,5,3
154,1459580149,5,27
155,810051219288944640,5,26
156,872695783,5,27
157,1237135711201042434,5,27
158,765874280374697985,5,27
159,1204366741280874497,5,27
160,1053065816307089408,5,20
161,1240215071588057088,5,27
162,851212764513275905,5,21
163,1055202888383979521,5,27
164,1347523622823489537,5,20
165,998285619322347521,5,24
166,884794577810599937,5,0
167,988114813430697985,5,19
168,3071468504,5,27
169,1310688159097913344,5,27
170,1251947239045509122,5,21
171,3288616173,5,21
172,1226835986002456577,5,27
173,1476789175,5,21
174,1243076905340985346,5,21
175,857741244864352256,5,27
176,909369024387174400,5,27
177,3006890994,5,26
178,410657592,5,19
179,3653913677,5,21
180,976199419463983105,5,27
181,3395347917,5,27
182,1224832026672599046,5,26
183,969608840718282753,5,23
184,1100442413322174467,5,21
185,1327326331558834178,5,26
186,1003276112884101125,5,19
187,1255976156093964291,5,19
188,1066317916184985600,5,27
189,748897965796974593,5,27
190,1263843298365579264,5,20
191,1319289538997415937,5,26
192,3692604142,5,19
193,1316411242194653187,5,19
194,1301856757363474434,4,21
195,940887613,4,21
196,1040580007645601792,4,21
197,1177814475921068032,4,21
198,876624541711290368,4,21
199,1181154545163997185,4,21
200,1085485306382614528,4,21
201,3107468764,4,21
202,978719506196520960,4,21
203,995995002252677120,4,21
204,848828308414509056,4,21
205,1279415434014531584,4,3
206,2826100122,4,21
207,147734619,4,18
208,752217829026439168,4,26
209,1262488649507254276,4,26
210,351619074,4,19
211,1319376934384566273,4,21
212,1322844822227615764,4,9
213,146224027,4,3
214,963859244448669699,4,27
215,1095482541316980736,4,27
216,2659270834,4,3
217,1642984141,4,3
218,182318174,4,3
219,1057610693271306240,4,3
220,1133401197275222017,4,26
221,1114611787612262400,4,27
222,611632849,4,18
223,1174329352655450118,4,0
224,989234511362879488,4,21
225,773659810109743113,4,27
226,1161242748768456704,4,21
227,4920462257,4,27
228,1358378792776069122,4,2
229,1095542658104246272,4,0
230,1165741318263455744,4,27
231,1159540546114863104,4,27
232,1697358708,4,27
233,974421937639305217,4,27
234,755759099741110272,4,0
235,4691475924,4,20
236,1169950021384593408,4,27
237,1127511753842200577,4,21
238,1270696284152827904,4,27
239,1008394378791006209,4,27
240,1170249233871626240,4,0
241,1282827046562004993,4,27
242,890641250109587456,4,27
243,1311393421794385923,4,27
244,1314706774763679745,4,0
245,1315601492674514945,4,16
246,752322796106035200,4,27
247,1188148085467299840,4,2
248,568095813,4,2
249,1257407254531379200,4,27
250,2457936512,4,27
251,991679750,4,27
252,713411816018329601,4,0
253,983080804103458817,4,27
254,776529178355179520,4,27
255,1246521388497764355,4,27
256,1342508337779376130,4,2
257,950906140614946816,4,27
258,4769181513,4,2
259,914581214362783751,4,27
260,1253891823392735232,4,2
261,1095419092373262342,4,16
