,source,fill
0,mannyconcepts-amoodaniel_,2
1,mannyconcepts-bigman,2
2,mannyconcepts-enilobs,2
3,mannyconcepts-fcbarcelona,2
4,mannyconcepts-schemeroyal,2
5,mannyconcepts-bolaji,3
6,mannyconcepts-pkm,3
7,mannyconcepts-chyderaa,3
8,mannyconcepts-obinna,3
9,mannyconcepts-realmadrid,4
10,amoodaniel_-mannyconcepts,3
11,amoodaniel_-bigman,2
12,amoodaniel_-enilobs,3
13,amoodaniel_-fcbarcelona,2
14,amoodaniel_-schemeroyal,2
15,amoodaniel_-bolaji,2
16,amoodaniel_-pkm,2
17,amoodaniel_-chyderaa,2
18,amoodaniel_-obinna,2
19,amoodaniel_-realmadrid,2
20,bigman-mannyconcepts,3
21,bigman-amoodaniel_,4
22,bigman-enilobs,2
23,bigman-fcbarcelona,3
24,bigman-schemeroyal,3
25,bigman-bolaji,3
26,bigman-pkm,2
27,bigman-chyderaa,2
28,bigman-obinna,4
29,bigman-realmadrid,3
30,enilobs-mannyconcepts,4
31,enilobs-amoodaniel_,5
32,enilobs-bigman,2
33,enilobs-fcbarcelona,2
34,enilobs-schemeroyal,2
35,enilobs-bolaji,3
36,enilobs-pkm,3
37,enilobs-chyderaa,3
38,enilobs-obinna,3
39,enilobs-realmadrid,2
40,fcbarcelona-mannyconcepts,3
41,fcbarcelona-amoodaniel_,3
42,fcbarcelona-bigman,4
43,fcbarcelona-enilobs,4
44,fcbarcelona-schemeroyal,2
45,fcbarcelona-bolaji,2
46,fcbarcelona-pkm,3
47,fcbarcelona-chyderaa,3
48,fcbarcelona-obinna,3
49,fcbarcelona-realmadrid,3
50,-mannyconcepts,3
51,-amoodaniel_,3
52,-bigman,3
53,-enilobs,4
54,-fcbarcelona,4
55,-schemeroyal,2
56,-bolaji,2
57,-pkm,2
58,-chyderaa,3
59,-obinna,3
60,-realmadrid,2
61,schemeroyal-mannyconcepts,3
62,schemeroyal-amoodaniel_,3
63,schemeroyal-bigman,3
64,schemeroyal-enilobs,4
65,schemeroyal-fcbarcelona,3
66,schemeroyal-bolaji,3
67,schemeroyal-pkm,2
68,schemeroyal-chyderaa,2
69,schemeroyal-obinna,3
70,schemeroyal-realmadrid,3
71,bolaji-mannyconcepts,2
72,bolaji-amoodaniel_,3
73,bolaji-bigman,2
74,bolaji-enilobs,3
75,bolaji-fcbarcelona,4
76,bolaji-schemeroyal,3
77,bolaji-pkm,3
78,bolaji-chyderaa,2
79,bolaji-obinna,4
80,bolaji-realmadrid,2
81,pkm-mannyconcepts,3
82,pkm-amoodaniel_,3
83,pkm-bigman,3
84,pkm-enilobs,3
85,pkm-fcbarcelona,3
86,pkm-schemeroyal,4
87,pkm-bolaji,5
88,pkm-chyderaa,3
89,pkm-obinna,2
90,pkm-realmadrid,3
91,chyderaa-mannyconcepts,3
92,chyderaa-amoodaniel_,3
93,chyderaa-bigman,3
94,chyderaa-enilobs,2
95,chyderaa-fcbarcelona,3
96,chyderaa-schemeroyal,3
97,chyderaa-bolaji,4
98,chyderaa-pkm,4
99,chyderaa-obinna,3
100,chyderaa-realmadrid,2
101,obinna-mannyconcepts,4
102,obinna-amoodaniel_,3
103,obinna-bigman,3
104,obinna-enilobs,3
105,obinna-fcbarcelona,3
106,obinna-schemeroyal,3
107,obinna-bolaji,3
108,obinna-pkm,2
109,obinna-chyderaa,5
110,obinna-realmadrid,4
111,realmadrid-mannyconcepts,3
112,realmadrid-amoodaniel_,5
113,realmadrid-bigman,4
114,realmadrid-enilobs,4
115,realmadrid-fcbarcelona,4
116,realmadrid-schemeroyal,4
117,realmadrid-bolaji,4
118,realmadrid-pkm,4
119,realmadrid-chyderaa,2
120,realmadrid-obinna,6
121,,3
122,,4
123,,2
124,,4
125,,4
126,,3
127,,3
128,,5
129,,4
130,,5
131,,6
